,24-00591_D8_53,23-00302_D8_53,23-00273_D8_53,23-00249_D8_53,24-00908_D8_53,24-01101_D8_53,20-00221_D8_55,20-00290_D8_55,20-00224_D8_55,20-00209_D8_55,20-00225_D8_55,20-00206_D8_55,20-00207_D8_55,20-00200_D8_55,20-00223_D8_55,20-00193_D8_55,20-00194_D8_55,20-00167_D8_55,20-00150_D8_55,20-00148_D8_55,20-00149_D8_55,20-00119_D8_55,20-00120_D8_55,20-00128_D8_55,20-00097_D8_55,20-00098_D8_55,20-00088_D8_55,20-00085_D8_55,20-00077_D8_55,20-00087_D8_55,20-00086_D8_55,20-00050_D8_55,20-00029_D8_55,20-00187_D8_55,24-00758_D8_-1,24-01031_D8_-1,24-00570_D8_-1,24-00897_D8_82,24-00669_D8_82,24-00684_D8_82,24-00624_D8_82,24-00589_D8_82,24-00792_D8_83,24-00805_D8_83,24-00748_D8_83,24-00718_D8_83,24-00726_D8_83,24-00717_D8_83,24-00660_D8_83,24-00650_D8_83,24-00680_D8_83,24-00678_D8_83,24-00681_D8_83,24-00679_D8_83,24-00676_D8_83,24-00599_D8_83,24-00598_D8_83,24-00597_D8_83,24-00584_D8_83,24-00542_D8_83,24-00511_D8_83,24-00546_D8_83,24-00497_D8_83,24-00461_D8_83,24-00460_D8_83,24-00481_D8_83,24-00641_D8_83,24-00446_D8_83,24-00448_D8_83,24-00451_D8_83,24-00452_D8_83,24-00449_D8_83,24-00432_D8_83,24-00549_D8_83,24-00545_D8_83,24-00938_D8_84,24-00915_D8_84,24-00903_D8_84,24-00875_D8_84,24-00885_D8_84,24-00919_D8_84,24-00806_D8_84,24-00761_D8_84,24-00746_D8_84,24-00747_D8_84,24-00740_D8_84,24-00742_D8_84,24-00688_D8_84,24-00701_D8_84,24-00700_D8_84,24-00695_D8_84,24-00698_D8_84,24-00796_D8_84,24-00706_D8_84,24-00657_D8_84,24-00614_D8_84,24-00633_D8_84,24-00581_D8_84,24-00567_D8_84,24-00520_D8_84,24-00441_D8_84,24-00445_D8_84,24-00435_D8_84,24-00418_D8_84,24-00393_D8_84,24-00394_D8_84,24-00341_D8_84,24-00308_D8_84,24-00319_D8_84,24-00321_D8_84,24-00309_D8_84,24-00334_D8_84,24-00333_D8_84,24-00302_D8_84,24-00270_D8_84,24-00244_D8_84,24-00335_D8_84,24-00240_D8_84,24-00215_D8_84,24-00199_D8_84,24-00195_D8_84,24-00200_D8_84,24-00198_D8_84,24-00196_D8_84,24-00207_D8_84,24-00189_D8_84,24-00177_D8_84,24-00220_D8_84,24-00221_D8_84,24-00222_D8_84,24-00159_D8_84,24-00158_D8_84,24-00175_D8_84,24-00179_D8_84,24-00178_D8_84,24-00120_D8_84,24-00119_D8_84,24-00094_D8_84,24-00090_D8_84,24-00044_D8_84,23-00625_D8_84,22-00554_D8_90,23-00541_D8_90,24-00455_D8_90,24-00217_D8_90,24-00102_D8_90,24-01146_D8_99,24-01149_D8_99,24-01133_D8_99,24-01163_D8_99,24-01140_D8_99,24-01135_D8_99,24-01139_D8_99,24-01136_D8_99,24-01118_D8_99,24-01119_D8_99,24-01111_D8_99,24-01110_D8_99,24-01120_D8_99,24-01104_D8_99,24-01124_D8_99,24-01112_D8_99,24-01150_D8_99,24-01113_D8_99,24-01116_D8_99,24-01114_D8_99,24-01151_D8_99,24-01117_D8_99,24-01098_D8_99,24-01082_D8_99,24-01089_D8_99,24-01093_D8_99,24-01091_D8_99,24-01060_D8_99,24-01052_D8_99,24-01065_D8_99,24-01062_D8_99,24-01030_D8_99,24-01034_D8_99,24-01063_D8_99,24-01066_D8_99,24-00994_D8_99,24-00945_D8_99,24-00948_D8_99,24-00950_D8_99,24-00943_D8_99,24-00952_D8_99,24-00946_D8_99,24-00953_D8_99,24-00965_D8_99,24-00961_D8_99,24-00878_D8_99,24-00876_D8_99,24-00888_D8_99,24-00886_D8_99,24-00887_D8_99,24-00714_D8_99,24-00705_D8_99,24-00098_D8_99,24-00070_D8_99,24-00072_D8_99,24-00073_D8_99,24-00069_D8_99,24-01130_D8_99,24-01142_D8_99,24-00849_D8_99,24-00811_D8_99,24-00759_D8_99,24-00696_D8_99,24-00677_D8_99,24-00631_D8_99,24-00630_D8_99,24-00586_D8_99,24-00577_D8_99,24-00580_D8_99,24-00403_D8_99,24-00227_D8_99,24-00172_D8_99,24-00080_D8_99,24-00148_D8_99,23-00885_D8_99,23-00768_D8_99,23-00506_D8_99,24-01081_D8_99,24-01078_D8_99,24-01088_D8_99,24-01086_D8_99,24-01122_D8_104,24-01121_D8_104,24-00930_D8_105,24-00928_D8_105,24-00929_D8_105,24-00812_D8_105,24-00807_D8_105,24-00760_D8_105,24-00786_D8_105,24-00735_D8_105,24-00731_D8_105,24-00722_D8_105,24-00656_D8_105,24-00642_D8_105,24-00643_D8_105,24-00525_D8_105,24-00528_D8_105,24-00516_D8_105,24-00530_D8_105,24-00540_D8_105,24-00473_D8_105,24-00472_D8_105,24-00443_D8_105,24-00387_D8_105,24-00412_D8_105,24-00208_D8_105,24-00167_D8_105,24-00173_D8_105,24-00176_D8_105,24-00275_D8_105,24-00574_D8_105,24-00122_D8_105,24-00113_D8_105,24-00131_D8_105,24-00276_D8_105,24-00185_D8_105,24-00095_D8_105,24-00067_D8_105,24-00037_D8_105,23-00773_D8_105,23-00770_D8_105,23-00738_D8_105,23-00735_D8_105,23-00731_D8_105,23-00650_D8_105,23-00304_D8_105,23-00310_D8_105,23-00325_D8_105,23-00179_D8_105,22-00571_D8_105,24-00140_D8_105,24-00575_D8_105,24-00479_D8_105,23-00690_D8_105,23-00689_D8_105,23-00695_D8_105,23-00826_D8_105,23-00830_D8_105,23-00827_D8_105,24-00437_D8_142,23-00392_D8_142,23-00303_D8_142,23-00277_D8_142,23-00276_D8_142,23-00229_D8_142
20-00225_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00206_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00207_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00200_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00223_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00193_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00194_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00167_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00150_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00148_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00149_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-00119_D8_55,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.02412280701754388,0.028508771929824595,0.02631578947368418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
